epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9.40731,0.60305,0.72714,0.90474,0.97582,1,0.995,0.86256,0.55325,1.32626,1.25961,0.000493898,0.000493898,0.000493898
45,9.58871,0.60602,0.67382,0.89828,0.98133,1,0.995,0.89611,0.62098,1.3107,1.32382,0.000496672,0.000496672,0.000496672
46,9.75736,0.61455,0.71999,0.91812,0.98133,1,0.995,0.89611,0.62098,1.3107,1.32382,0.00049905,0.00049905,0.00049905
47,9.9477,0.61291,0.7031,0.91198,0.98288,1,0.995,0.82961,0.56673,1.20551,1.17006,0.000501032,0.000501032,0.000501032
48,10.1204,0.58337,0.70848,0.90263,0.98288,1,0.995,0.82961,0.56673,1.20551,1.17006,0.000502618,0.000502618,0.000502618
49,10.2905,0.59302,0.70075,0.90769,0.9849,1,0.995,0.90672,0.45153,0.96458,1.02682,0.000503808,0.000503808,0.000503808
50,10.4592,0.52285,0.66063,0.88895,0.9849,1,0.995,0.90672,0.45153,0.96458,1.02682,0.000504602,0.000504602,0.000504602
51,10.6481,0.58026,0.67083,0.89851,0.98621,1,0.995,0.90672,0.4858,0.9204,1.08003,0.000505,0.000505,0.000505
52,10.8242,0.5292,0.64504,0.89227,0.98621,1,0.995,0.90672,0.4858,0.9204,1.08003,0.000505002,0.000505002,0.000505002
53,11.0085,0.50259,0.62793,0.87482,0.98621,1,0.995,0.90672,0.4858,0.9204,1.08003,0.000504608,0.000504608,0.000504608
54,11.1836,0.59421,0.69113,0.8973,0.98587,1,0.995,0.90711,0.46382,0.9825,1.23134,0.000503818,0.000503818,0.000503818
55,11.3588,0.56239,0.62311,0.87189,0.98587,1,0.995,0.90711,0.46382,0.9825,1.23134,0.000502632,0.000502632,0.000502632
56,11.5256,0.57092,0.63037,0.88431,0.98587,1,0.995,0.90711,0.46382,0.9825,1.23134,0.00050105,0.00050105,0.00050105
57,11.7125,0.60097,0.7058,0.91217,0.9836,1,0.995,0.92911,0.40589,1.02561,1.19708,0.000499072,0.000499072,0.000499072
58,11.8781,0.50874,0.60411,0.85985,0.9836,1,0.995,0.92911,0.40589,1.02561,1.19708,0.000496698,0.000496698,0.000496698
59,12.0438,0.55969,0.62992,0.89385,0.9836,1,0.995,0.92911,0.40589,1.02561,1.19708,0.000493928,0.000493928,0.000493928
60,12.2207,0.54342,0.65764,0.89056,0.98414,1,0.995,0.92911,0.40444,1.08186,1.17178,0.000490762,0.000490762,0.000490762
61,12.3881,0.59689,0.67644,0.91306,0.98414,1,0.995,0.92911,0.40444,1.08186,1.17178,0.0004872,0.0004872,0.0004872
62,12.5682,0.5812,0.62317,0.8777,0.98414,1,0.995,0.92911,0.40444,1.08186,1.17178,0.000483242,0.000483242,0.000483242
63,12.7468,0.53467,0.67725,0.90937,0.98328,1,0.995,0.96206,0.38851,1.13157,1.11227,0.000478888,0.000478888,0.000478888
64,12.9204,0.55419,0.68142,0.94452,0.98328,1,0.995,0.96206,0.38851,1.13157,1.11227,0.000474138,0.000474138,0.000474138
65,13.0996,0.49122,0.58967,0.85861,0.98328,1,0.995,0.96206,0.38851,1.13157,1.11227,0.000468992,0.000468992,0.000468992
66,13.2909,0.56189,0.64929,0.89122,0.98316,1,0.995,0.96206,0.33608,1.08712,1.01549,0.00046345,0.00046345,0.00046345
67,13.4756,0.50094,0.59988,0.90041,0.98316,1,0.995,0.96206,0.33608,1.08712,1.01549,0.000457512,0.000457512,0.000457512
68,13.6627,0.51964,0.60901,0.87032,0.98316,1,0.995,0.96206,0.33608,1.08712,1.01549,0.000451178,0.000451178,0.000451178
69,13.8516,0.49386,0.60096,0.87414,0.98451,1,0.995,0.995,0.33324,0.99332,0.95313,0.000444448,0.000444448,0.000444448
70,14.0438,0.45416,0.59736,0.87697,0.98451,1,0.995,0.995,0.33324,0.99332,0.95313,0.000437322,0.000437322,0.000437322
71,14.231,0.48937,0.61258,0.87879,0.98451,1,0.995,0.995,0.33324,0.99332,0.95313,0.0004298,0.0004298,0.0004298
72,14.4167,0.50057,0.59355,0.87711,0.98607,1,0.995,0.95106,0.3431,0.8864,0.92461,0.000421882,0.000421882,0.000421882
73,14.5846,0.51467,0.67336,0.87054,0.98607,1,0.995,0.95106,0.3431,0.8864,0.92461,0.000413568,0.000413568,0.000413568
74,14.7651,0.44139,0.57389,0.86812,0.98607,1,0.995,0.95106,0.3431,0.8864,0.92461,0.000404858,0.000404858,0.000404858
75,14.9506,0.51094,0.64395,0.92217,0.98635,1,0.995,0.95106,0.323,0.82763,0.88773,0.000395752,0.000395752,0.000395752
76,15.1251,0.52583,0.61796,0.85992,0.98635,1,0.995,0.95106,0.323,0.82763,0.88773,0.00038625,0.00038625,0.00038625
77,15.3031,0.49592,0.60553,0.89217,0.98635,1,0.995,0.95106,0.323,0.82763,0.88773,0.000376352,0.000376352,0.000376352
78,15.496,0.48669,0.63093,0.88331,0.98616,1,0.995,0.95106,0.32903,0.77858,0.8748,0.000366058,0.000366058,0.000366058
79,15.6755,0.52026,0.59698,0.9009,0.98616,1,0.995,0.95106,0.32903,0.77858,0.8748,0.000355368,0.000355368,0.000355368
80,15.8456,0.46798,0.58236,0.85291,0.98616,1,0.995,0.95106,0.32903,0.77858,0.8748,0.000344282,0.000344282,0.000344282
81,16.0243,0.51077,0.61175,0.89702,0.98567,1,0.995,0.95106,0.33612,0.77162,0.88632,0.0003328,0.0003328,0.0003328
82,16.1971,0.48298,0.56907,0.89948,0.98567,1,0.995,0.95106,0.33612,0.77162,0.88632,0.000320922,0.000320922,0.000320922
83,16.385,0.5183,0.59284,0.86462,0.98567,1,0.995,0.95106,0.33612,0.77162,0.88632,0.000308648,0.000308648,0.000308648
84,16.5669,0.48799,0.58869,0.84179,0.98592,1,0.995,0.96206,0.32985,0.76453,0.90733,0.000295978,0.000295978,0.000295978
85,16.7379,0.45045,0.60013,0.86573,0.98592,1,0.995,0.96206,0.32985,0.76453,0.90733,0.000282912,0.000282912,0.000282912
86,16.9074,0.48002,0.58548,0.90365,0.98592,1,0.995,0.96206,0.32985,0.76453,0.90733,0.00026945,0.00026945,0.00026945
87,17.0836,0.4389,0.61993,0.88827,0.98592,1,0.995,0.96206,0.32985,0.76453,0.90733,0.000255592,0.000255592,0.000255592
88,17.2755,0.49766,0.59951,0.89565,0.98579,1,0.995,0.96206,0.32577,0.77437,0.9059,0.000241338,0.000241338,0.000241338
